epoch,avg_loss,val_consistency,gamma,alpha
1,0.18303840752442677,0.0005443290865514427,5.0,0.0
2,0.053517732021709286,0.0003994046273874119,4.770488183119276,0.0
3,0.042221899864574274,0.00031968690745998174,4.551511501056129,0.0
4,0.03832081517452995,0.0004540611116681248,4.342586366223947,0.0
5,0.03659621026987831,0.00035176341771148145,4.143251388849243,0.0
6,0.03568976241722703,0.0003687349963001907,3.9530663580395675,0.0
7,0.035120265370855726,0.00039632711559534073,3.7716112696228214,0.0
8,0.03469815164556106,0.0003196449688402936,3.5984853986110314,0.0
9,0.03438970890144507,0.00036396028008311987,3.433306414240236,0.0
10,0.03415412973240018,0.00032450071012135595,3.2757095356321315,0.0
11,0.00587811625127991,0.0002956885437015444,3.1253467262128427,0.1
12,-0.024236855742832023,0.0002900084509747103,2.9818859251097756,0.2
13,-0.05219283851981163,0.0002852674952009693,2.8450103138291745,0.3
14,-0.07713090863327185,0.0002824630282702856,2.7144176165949077,0.4
15,-0.0992369617993633,0.00028413193649612367,2.589819432803359,0.5
16,-0.11850380943715573,0.0002802368035190739,2.470940600120217,0.6
17,-0.13516563871999582,0.00028242511325515807,2.3575185868126294,0.7
18,-0.14912485184768837,0.0002848369622370228,2.2493029119747403,0.8
19,-0.16109076156218846,0.00027941031294176355,2.146054592366255,0.9
20,-0.17072022621830305,0.0002830616576829925,2.0475456146424147,1.0
21,-0.15776973994572957,0.00027894312370335683,1.9535584318098662,1.0
22,-0.14552401586373648,0.00027961131127085537,1.863885482796398,1.0
23,-0.13377837822337946,0.000282542961940635,1.7783287340735563,1.0
24,-0.12244844609002273,0.0002810165751725435,1.6966992423198721,1.0
25,-0.11167252033948899,0.0002827284115483053,1.6188167371588755,1.0
26,-0.10125427679220836,0.0002823889008141123,1.5445092230504234,1.0
27,-0.09122396143277486,0.0002821274465532042,1.4736125994561555,1.0
28,-0.08242109747231006,0.0002945041633211076,1.4059702984402536,1.0
29,-0.07355337567130725,0.0002847066134563647,1.3414329389051822,1.0
30,-0.06552098693698645,0.0002847848227247596,1.2798579966988264,1.0
31,-0.05837906281277537,0.0002865531059796922,1.2211094898644919,1.0
32,-0.05144432357947032,0.00028763507725670934,1.165057678338673,1.0
33,-0.04531525197438896,0.0002922984494944103,1.1115787774334036,1.0
34,-0.03948473196073125,0.0002904969223891385,1.0605546844704445,1.0
35,-0.0342618265246662,0.00030015481752343476,1.0118727179636093,1.0
36,-0.029728762741200628,0.0002876285361708142,0.9654253687732363,1.0
37,-0.025173119550726066,0.00029412804724415764,0.9211100626832585,1.0
38,-0.021540192102159683,0.00033581952448002994,0.8788289338765478,1.0
39,-0.01821721194777638,0.00029765932413283736,0.8384886088082766,1.0
40,-0.015590715954778716,0.0002998594136442989,0.8000000000000007,1.0
